"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mSxW[24,1] 24 Broad",149.2629415,149.293,149.077460621342,12000,0.95,142.528,156.269,NA,NA,NA,NA,NA,NA,NA
"mSxW[25,1] 25 Broad",120.05019975,120.037,119.990604368852,12000,0.95,113.151,126.754,NA,NA,NA,NA,NA,NA,NA
"mSxW[26,1] 26 Broad",112.657464208333,112.6205,112.65234512726,12000,0.95,105.875,119.799,NA,NA,NA,NA,NA,NA,NA
"mSxW[27,1] 27 Broad",128.631708083333,128.6265,128.221035639453,12000,0.95,121.868,135.737,NA,NA,NA,NA,NA,NA,NA
"mSxW[28,1] 28 Broad",127.690880916667,127.668,127.437254952656,12147.5,0.95,120.756,134.389,NA,NA,NA,NA,NA,NA,NA
"mSxW[29,1] 29 Broad",116.94892975,116.9095,116.706894694004,11907.1,0.95,109.934,123.675,NA,NA,NA,NA,NA,NA,NA
"mSxW[30,1] 30 Broad",119.74953325,119.718,119.444557247258,12000,0.95,112.899,126.44,NA,NA,NA,NA,NA,NA,NA
"mSxW[31,1] 31 Broad",144.355407166667,144.3765,144.25950798543,11665,0.95,137.351,151.321,NA,NA,NA,NA,NA,NA,NA
"mSxW[32,1] 32 Broad",129.566750333333,129.589,130.055257921908,12000,0.95,122.72,136.323,NA,NA,NA,NA,NA,NA,NA
"mSxW[33,1] 33 Broad",146.156683833333,146.137,146.100829504246,12000,0.95,139.186,152.878,NA,NA,NA,NA,NA,NA,NA
"mSxW[1,2] 1 Deep",128.542232916667,128.5235,128.259528824725,12469.2,0.95,121.779,135.338,NA,NA,NA,NA,NA,NA,NA
"mSxW[2,2] 2 Deep",142.403117333333,142.394,142.62299055404,12000,0.95,135.66,149.2,NA,NA,NA,NA,NA,NA,NA
"mSxW[3,2] 3 Deep",145.76907975,145.7795,145.331130933344,12000,0.95,139.173,152.889,NA,NA,NA,NA,NA,NA,NA
"mSxW[4,2] 4 Deep",133.807012583333,133.79,133.762068408343,12000,0.95,127.334,140.834,NA,NA,NA,NA,NA,NA,NA
"mSxW[5,2] 5 Deep",143.931129333333,143.989,144.44226240494,12530.6,0.95,137.007,150.658,NA,NA,NA,NA,NA,NA,NA
"mSxW[6,2] 6 Deep",127.925660666667,127.9185,127.907022084991,11650.3,0.95,120.925,134.531,NA,NA,NA,NA,NA,NA,NA
"mSxW[7,2] 7 Deep",121.7106775,121.712,121.835970999525,12000,0.95,114.803,128.369,NA,NA,NA,NA,NA,NA,NA
"mSxW[8,2] 8 Deep",119.687417833333,119.6195,119.298208911167,11784.5,0.95,112.87,126.394,NA,NA,NA,NA,NA,NA,NA
"mSxW[9,2] 9 Deep",128.838704916667,128.804,128.343410517463,12000,0.95,121.801,135.411,NA,NA,NA,NA,NA,NA,NA
"mSxW[10,2] 10 Deep",144.563417833333,144.5725,144.448584145758,12000,0.95,137.932,151.497,NA,NA,NA,NA,NA,NA,NA
"mSxW[11,2] 11 Deep",142.394936333333,142.4115,142.426701453942,12000,0.95,135.708,149.368,NA,NA,NA,NA,NA,NA,NA
"mSxW[12,2] 12 Deep",127.323908583333,127.3185,127.735657607738,12000,0.95,120.537,134.038,NA,NA,NA,NA,NA,NA,NA
"mSxW[13,2] 13 Deep",154.696490666667,154.6895,155.155136333916,11501.7,0.95,147.827,161.595,NA,NA,NA,NA,NA,NA,NA
"mSxW[14,2] 14 Deep",158.992693,159.015,158.967649546864,12337.7,0.95,152.225,165.95,NA,NA,NA,NA,NA,NA,NA
"mSxW[15,2] 15 Deep",141.835194416667,141.825,142.217702965996,12398.8,0.95,135.153,148.847,NA,NA,NA,NA,NA,NA,NA
"mSxW[16,2] 16 Deep",170.6460995,170.6995,171.176618189301,12903.6,0.95,163.577,177.449,NA,NA,NA,NA,NA,NA,NA
"mSxW[17,2] 17 Deep",148.582326083333,148.554,148.372977493897,12354,0.95,141.735,155.332,NA,NA,NA,NA,NA,NA,NA
"mSxW[18,2] 18 Deep",141.50559775,141.4775,141.381063530872,11689.5,0.95,134.872,148.478,NA,NA,NA,NA,NA,NA,NA
"mSxW[19,2] 19 Deep",150.4211,150.4325,150.525326392042,12000,0.95,143.393,157.079,NA,NA,NA,NA,NA,NA,NA
"mSxW[20,2] 20 Deep",158.09684275,158.109,158.147458662539,11681.7,0.95,151.41,165.082,NA,NA,NA,NA,NA,NA,NA
"mSxW[21,2] 21 Deep",137.842737666667,137.832,137.810855785712,11093.4,0.95,130.834,144.618,NA,NA,NA,NA,NA,NA,NA
"mSxW[22,2] 22 Deep",147.025878416667,147.0115,147.381005035948,12000,0.95,140.24,153.991,NA,NA,NA,NA,NA,NA,NA
"mSxW[23,2] 23 Deep",145.456946166667,145.456,145.798834001149,12000,0.95,138.559,152.359,NA,NA,NA,NA,NA,NA,NA
"mSxW[24,2] 24 Deep",175.881421166667,175.9115,176.550998954302,12000,0.95,168.875,182.654,NA,NA,NA,NA,NA,NA,NA
"mSxW[25,2] 25 Deep",146.668674916667,146.6535,146.499604825321,12000,0.95,139.861,153.388,NA,NA,NA,NA,NA,NA,NA
"mSxW[26,2] 26 Deep",139.275945083333,139.3015,139.582898023928,12000,0.95,132.637,146.201,NA,NA,NA,NA,NA,NA,NA
"mSxW[27,2] 27 Deep",155.250189,155.2675,155.006090417129,12000,0.95,148.229,162.021,NA,NA,NA,NA,NA,NA,NA
"mSxW[28,2] 28 Deep",154.309363166667,154.286,154.09511787407,11661.4,0.95,147.439,160.854,NA,NA,NA,NA,NA,NA,NA
"mSxW[29,2] 29 Deep",143.567409833333,143.5545,143.456721149861,12000,0.95,136.945,150.521,NA,NA,NA,NA,NA,NA,NA
"mSxW[30,2] 30 Deep",146.368021416667,146.377,147.01445390294,12000,0.95,139.368,153.076,NA,NA,NA,NA,NA,NA,NA
"mSxW[31,2] 31 Deep",170.973886833333,170.9865,170.604686738406,12000,0.95,164.021,178.003,NA,NA,NA,NA,NA,NA,NA
"mSxW[32,2] 32 Deep",156.185228166667,156.227,156.557094346731,10666,0.95,149.312,162.938,NA,NA,NA,NA,NA,NA,NA
"mSxW[33,2] 33 Deep",172.77516475,172.7795,172.812333604952,12000,0.95,166.105,179.845,NA,NA,NA,NA,NA,NA,NA
"mSxW[1,3] 1 Surface",126.18971525,126.19,126.199498707841,12081.2,0.95,119.419,132.78,NA,NA,NA,NA,NA,NA,NA
"mSxW[2,3] 2 Surface",140.050601666667,140.043,139.990463298443,12000,0.95,133.38,146.89,NA,NA,NA,NA,NA,NA,NA
"mSxW[3,3] 3 Surface",143.416565416667,143.465,143.61295626073,12000,0.95,136.252,150.16,NA,NA,NA,NA,NA,NA,NA
"mSxW[4,3] 4 Surface",131.45449375,131.451,131.390742329162,12000,0.95,124.632,138.076,NA,NA,NA,NA,NA,NA,NA
"mSxW[5,3] 5 Surface",141.578617166667,141.5975,141.700539427572,12000,0.95,134.632,148.225,NA,NA,NA,NA,NA,NA,NA
"mSxW[6,3] 6 Surface",125.57314225,125.586,125.380313726947,12000,0.95,118.917,132.328,NA,NA,NA,NA,NA,NA,NA
"mSxW[7,3] 7 Surface",119.358157416667,119.369,119.926274391871,12000,0.95,112.678,126.219,NA,NA,NA,NA,NA,NA,NA
"mSxW[8,3] 8 Surface",117.334898666667,117.2735,117.090542099681,12000,0.95,110.503,124.279,NA,NA,NA,NA,NA,NA,NA
"mSxW[9,3] 9 Surface",126.486198666667,126.4715,126.013347655421,12000,0.95,119.698,133.186,NA,NA,NA,NA,NA,NA,NA
"mSxW[10,3] 10 Surface",142.210901083333,142.2195,141.811059860229,12000,0.95,135.506,149.058,NA,NA,NA,NA,NA,NA,NA
"mSxW[11,3] 11 Surface",140.0424265,140.092,140.412978249781,12129.9,0.95,132.882,146.556,NA,NA,NA,NA,NA,NA,NA
"mSxW[12,3] 12 Surface",124.97139475,124.9495,124.596082195677,12000,0.95,118.252,131.72,NA,NA,NA,NA,NA,NA,NA
"mSxW[13,3] 13 Surface",149.84218075,149.813,149.988545500768,12000,0.95,142.795,156.427,NA,NA,NA,NA,NA,NA,NA
"mSxW[14,3] 14 Surface",154.13837975,154.115,154.076018153023,12000,0.95,147.071,160.777,NA,NA,NA,NA,NA,NA,NA
"mSxW[15,3] 15 Surface",136.98088825,136.946,136.868013001486,12000,0.95,129.955,143.583,NA,NA,NA,NA,NA,NA,NA
"mSxW[16,3] 16 Surface",165.791785583333,165.857,166.278024660384,13224.5,0.95,159.05,172.948,NA,NA,NA,NA,NA,NA,NA
"mSxW[17,3] 17 Surface",143.728012666667,143.739,143.630150099716,12000,0.95,136.682,150.574,NA,NA,NA,NA,NA,NA,NA
"mSxW[18,3] 18 Surface",136.651279,136.6485,136.548106427528,12000,0.95,129.777,143.641,NA,NA,NA,NA,NA,NA,NA
"mSxW[19,3] 19 Surface",145.566782583333,145.572,145.80089960868,12000,0.95,138.737,152.314,NA,NA,NA,NA,NA,NA,NA
"mSxW[20,3] 20 Surface",153.242524416667,153.2615,152.938694937883,13019.2,0.95,146.384,160.149,NA,NA,NA,NA,NA,NA,NA
"mSxW[21,3] 21 Surface",132.98843125,132.9815,133.062515930744,12000,0.95,126.097,139.548,NA,NA,NA,NA,NA,NA,NA
"mSxW[22,3] 22 Surface",142.1715715,142.1145,141.435625143812,11416.7,0.95,135.117,148.865,NA,NA,NA,NA,NA,NA,NA
"mSxW[23,3] 23 Surface",143.13951175,143.122,143.207920373076,12000,0.95,136.296,149.707,NA,NA,NA,NA,NA,NA,NA
"mSxW[24,3] 24 Surface",173.56398575,173.597,173.613642508194,12000,0.95,166.492,180.446,NA,NA,NA,NA,NA,NA,NA
"mSxW[25,3] 25 Surface",144.3512445,144.348,144.262444868716,12000,0.95,137.783,151.354,NA,NA,NA,NA,NA,NA,NA
"mSxW[26,3] 26 Surface",136.958515166667,136.962,137.035885954006,12000,0.95,130.054,143.945,NA,NA,NA,NA,NA,NA,NA
"mSxW[27,3] 27 Surface",152.932756333333,152.949,153.60487794836,12263.6,0.95,145.889,159.656,NA,NA,NA,NA,NA,NA,NA
"mSxW[28,3] 28 Surface",151.991922416667,151.9925,152.151389812225,11631.3,0.95,145.216,158.623,NA,NA,NA,NA,NA,NA,NA
"mSxW[29,3] 29 Surface",141.249978,141.2195,141.475118320556,12000,0.95,134.777,148.341,NA,NA,NA,NA,NA,NA,NA
"mSxW[30,3] 30 Surface",144.050581583333,144.101,144.46922568281,12000,0.95,137.181,150.916,NA,NA,NA,NA,NA,NA,NA
"mSxW[31,3] 31 Surface",168.656452416667,168.6755,168.580013592339,11651.4,0.95,161.674,175.606,NA,NA,NA,NA,NA,NA,NA
"mSxW[32,3] 32 Surface",153.867792416667,153.8905,154.090284274615,11037.8,0.95,146.937,160.538,NA,NA,NA,NA,NA,NA,NA
"mSxW[33,3] 33 Surface",170.4577295,170.526,170.781332830276,12000,0.95,163.475,177.165,NA,NA,NA,NA,NA,NA,NA
"b0",140.425442083333,140.424,140.413742803674,12000,0.95,139.262,141.514,NA,NA,NA,NA,NA,NA,NA
"bB[1] Chisel",-10.5352888708333,-10.5348,-10.5550589035933,12000,0.95,-12.0511,-8.90656,NA,NA,NA,NA,NA,NA,NA
"bB[2] Moldbrd",5.4503797,5.44631,5.42077289297188,12000,0.95,3.80532,7.07581,NA,NA,NA,NA,NA,NA,NA
"bB[3] Ridge",5.084909495,5.088,5.13116783354879,12000,0.95,3.43475,6.63474,NA,NA,NA,NA,NA,NA,NA
"bW[1] Broad",-9.32653070333333,-9.33031,-9.4240456831628,12000,0.95,-10.9411,-7.73339,NA,NA,NA,NA,NA,NA,NA
"bW[2] Deep",6.25064246333333,6.25143,6.24986338314939,10190.8,0.95,4.62789,7.79055,NA,NA,NA,NA,NA,NA,NA
"bW[3] Surface",3.07588826383333,3.0735,3.00545990797885,12000,0.95,1.50336,4.6522,NA,NA,NA,NA,NA,NA,NA
"bBxW[1,1] Chisel Broad",3.64314193664167,3.64253,3.56932720655016,12000,0.95,1.49768,5.87568,NA,NA,NA,NA,NA,NA,NA
"bBxW[2,1] Moldbrd Broad",4.0035013951,4.011725,4.09424384829606,11590.2,0.95,1.71002,6.22321,NA,NA,NA,NA,NA,NA,NA
"bBxW[3,1] Ridge Broad",-7.64664325166667,-7.663295,-7.70780072261497,11555.2,0.95,-9.83071,-5.20715,NA,NA,NA,NA,NA,NA,NA
"bBxW[1,2] Chisel Deep",-2.23268999625283,-2.2372,-2.32261096132293,12333.8,0.95,-4.4462,-0.130521,NA,NA,NA,NA,NA,NA,NA
"bBxW[2,2] Moldbrd Deep",-1.16197211404748,-1.154255,-0.993957959567488,12469.1,0.95,-3.41228,1.07802,NA,NA,NA,NA,NA,NA,NA
"bBxW[3,2] Ridge Deep",3.39466215910833,3.40183,3.18292092211349,12000,0.95,1.14455,5.57299,NA,NA,NA,NA,NA,NA,NA
"bBxW[1,3] Chisel Surface",-1.41045189666994,-1.393395,-1.30819073432009,12000,0.95,-3.70975,0.66183,NA,NA,NA,NA,NA,NA,NA
"bBxW[2,3] Moldbrd Surface",-2.841529181395,-2.84524,-2.7913693321463,12000,0.95,-5.1007,-0.575092,NA,NA,NA,NA,NA,NA,NA
"bBxW[3,3] Ridge Surface",4.25198112708333,4.256425,4.29265515793178,12000,0.95,2.06875,6.50141,NA,NA,NA,NA,NA,NA,NA
"bS[1] 1",-5.36587572401417,-5.333015,-5.04631913153097,12447.4,0.95,-11.1545,0.763273,NA,NA,NA,NA,NA,NA,NA
"bS[2] 2",8.4950094113475,8.454475,8.13691225515882,12000,0.95,2.53245,14.4647,NA,NA,NA,NA,NA,NA,NA
"bS[3] 3",11.8609709077,11.86025,11.5157774029451,11624.3,0.95,5.95303,18.1282,NA,NA,NA,NA,NA,NA,NA
"bS[4] 4",-0.1010988626205,-0.1377255,-0.503530513481898,12000,0.95,-6.19071,5.60909,NA,NA,NA,NA,NA,NA,NA
"bS[5] 5",10.0230226480417,10.04325,10.2203982850469,12000,0.95,3.97222,15.9881,NA,NA,NA,NA,NA,NA,NA
"bS[6] 6",-5.98244859741917,-5.991435,-6.54187509434042,12000,0.95,-12.3128,-0.402938,NA,NA,NA,NA,NA,NA,NA
"bS[7] 7",-12.1974287463333,-12.1462,-11.9699175147472,12000,0.95,-18.4812,-6.30506,NA,NA,NA,NA,NA,NA,NA
"bS[8] 8",-14.2206948966667,-14.29895,-14.3700365452631,12000,0.95,-20.2764,-8.32994,NA,NA,NA,NA,NA,NA,NA
"bS[9] 9",-5.06939742487383,-5.08573,-5.27733094335417,12000,0.95,-11.0184,0.889715,NA,NA,NA,NA,NA,NA,NA
"bS[10] 10",10.6553096781417,10.66565,10.179749584662,12000,0.95,4.65803,16.5342,NA,NA,NA,NA,NA,NA,NA
"bS[11] 11",8.486827965225,8.512025,8.72540228848569,12000,0.95,2.08922,14.1573,NA,NA,NA,NA,NA,NA,NA
"bS[12] 12",-6.584196786171,-6.59748,-6.50201080837562,12000,0.95,-12.515,-0.614286,NA,NA,NA,NA,NA,NA,NA
"bS[13] 13",3.73199523741375,3.70611,3.43463530564725,12000,0.95,-2.11265,9.57985,NA,NA,NA,NA,NA,NA,NA
"bS[14] 14",8.02819768243083,8.063105,8.33961145658999,12316.5,0.95,2.09416,13.8661,NA,NA,NA,NA,NA,NA,NA
"bS[15] 15",-9.12929618334917,-9.151825,-9.26167346156646,12000,0.95,-14.7407,-2.88566,NA,NA,NA,NA,NA,NA,NA
"bS[16] 16",19.6816013841667,19.69875,19.4027777129664,12439.2,0.95,13.6938,25.6288,NA,NA,NA,NA,NA,NA,NA
"bS[17] 17",-2.38217171088183,-2.361895,-2.26687064662313,12000,0.95,-8.41847,3.54822,NA,NA,NA,NA,NA,NA,NA
"bS[18] 18",-9.45890439837417,-9.48525,-9.810987577654,12000,0.95,-15.3591,-3.61735,NA,NA,NA,NA,NA,NA,NA
"bS[19] 19",-0.543399044517083,-0.5293505,-0.396002906065863,12000,0.95,-6.6713,5.18144,NA,NA,NA,NA,NA,NA,NA
"bS[20] 20",7.1323457499875,7.13473,7.19918020851302,12392,0.95,1.41053,13.2859,NA,NA,NA,NA,NA,NA,NA
"bS[21] 21",-13.1217537264167,-13.14555,-13.2001114532781,12000,0.95,-19.079,-7.36146,NA,NA,NA,NA,NA,NA,NA
"bS[22] 22",-3.93861454876067,-3.955715,-3.88913169575743,12000,0.95,-9.72318,2.07356,NA,NA,NA,NA,NA,NA,NA
"bS[23] 23",-9.69871098618917,-9.697215,-9.53327967293203,12000,0.95,-15.6489,-3.70162,NA,NA,NA,NA,NA,NA,NA
"bS[24] 24",20.7257611825,20.75605,20.9866199123241,12000,0.95,14.773,26.9409,NA,NA,NA,NA,NA,NA,NA
"bS[25] 25",-8.48698220280833,-8.537315,-8.88943950456081,12000,0.95,-14.1443,-2.42757,NA,NA,NA,NA,NA,NA,NA
"bS[26] 26",-15.8797125775,-15.8752,-15.7052704562266,12000,0.95,-21.9608,-9.95943,NA,NA,NA,NA,NA,NA,NA
"bS[27] 27",0.0945289443029,0.07719915,-0.0724873702387807,12000,0.95,-6.2312,5.81573,NA,NA,NA,NA,NA,NA,NA
"bS[28] 28",-0.846301280901083,-0.852838,-0.872018369609727,12016.8,0.95,-6.69798,5.00651,NA,NA,NA,NA,NA,NA,NA
"bS[29] 29",-11.5882490880583,-11.6091,-11.764391941236,12000,0.95,-17.4543,-5.52815,NA,NA,NA,NA,NA,NA,NA
"bS[30] 30",-8.78763957953333,-8.79913,-8.87851733926362,12000,0.95,-14.9558,-3.14847,NA,NA,NA,NA,NA,NA,NA
"bS[31] 31",15.8182283875,15.8419,15.9486072786323,11692.1,0.95,9.868,22.0278,NA,NA,NA,NA,NA,NA,NA
"bS[32] 32",1.02957275344481,0.992932,0.599937510653557,10824.7,0.95,-5.01563,6.77989,NA,NA,NA,NA,NA,NA,NA
"bS[33] 33",17.6195047425,17.61855,17.3746697942922,12000,0.95,11.6565,23.502,NA,NA,NA,NA,NA,NA,NA
"sigma",5.69581605416667,5.65646,5.52139762444392,12000,0.95,4.67474,6.72895,NA,NA,NA,NA,NA,NA,NA
"sigmaB",15.0097548727833,11.3444,7.24314548919678,672.8,0.95,0.0148631,39.8683,NA,NA,NA,NA,NA,NA,NA
"sigmaW",14.2478495598333,10.7391,7.36475039025652,977.6,0.95,0.0236079,37.991,NA,NA,NA,NA,NA,NA,NA
"sigmaBxW",8.71053334666667,7.80333,6.09929076891082,4098.6,0.95,2.86824,16.6098,NA,NA,NA,NA,NA,NA,NA
"sigmaS",11.6910606925,11.5036,11.045983660562,12000,0.95,8.57417,15.1629,NA,NA,NA,NA,NA,NA,NA
"Moldbrd.v.Ridge",0.365470205,0.365305,0.368966031644519,12000,0.95,-2.56583,3.08259,0,60.1666666666667,-5,5,0.0166666666666667,99.9333333333333,0.05
"MoldbrdRidge.v.Chisel",15.8029334683333,15.8021875,15.8325934591732,12000,0.95,13.35984,18.07665,0,100,-5,5,0,0,100
"DeepSurface.v.Broad",13.9897960669167,13.995465,14.13607690195,12000,0.95,11.60009,16.41167,0,100,-5,5,0,0,100
"ChiselMoldbrd.v.Ridge.x.Broad.v.DeepSurface",17.2049473577246,17.242410625,17.3425215683172,11555.2,0.95,11.71608725,22.11909925,0,100,-5,5,0,0,100
